task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,7,8,93.78,0.7557,ok,0.576271186440678,0.5423832923832924,0.543233082706767,0.5426356589147286
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,8,9,74.76,0.1751,ok,0.46551724137931033,0.44303030303030305,0.4381578947368421,0.437245696400626
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,9,10,20.46,0.1823,ok,0.48333333333333334,0.4696969696969697,0.4677033492822966,0.4653636102328256
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,10,11,20.91,0.1855,ok,0.4915254237288136,0.45772946859903385,0.45614035087719296,0.45638820638820643
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,11,13,20.77,0.1864,ok,0.5254237288135594,0.5229885057471264,0.525062656641604,0.5141176470588236
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,12,14,20.74,0.1825,ok,0.6610169491525424,0.6498842592592593,0.6622807017543859,0.6488095238095238
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,13,15,20.64,0.1892,ok,0.48333333333333334,0.4877641824249166,0.48684210526315785,0.4762038862292312
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,14,16,20.88,0.1892,ok,0.5409836065573771,0.5208791208791209,0.5221445221445221,0.5191441441441441
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,15,17,20.91,0.1932,ok,0.5081967213114754,0.5183982683982684,0.5194508009153318,0.5048701298701299
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,1,2,24.52,0.2447,ok,0.44776119402985076,0.2912186379928316,0.3470839260312944,0.3117808219178082
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,2,3,25.3,0.1899,ok,0.4852941176470588,0.31828703703703703,0.3815315315315315,0.34193888303477343
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,3,4,26.65,0.1807,ok,0.3235294117647059,0.21875,0.2671171171171171,0.2327467218771567
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,4,5,28.9,0.2623,ok,0.4857142857142857,0.32135076252723316,0.388034188034188,0.3437037037037037
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,5,6,33.61,0.3431,ok,0.5142857142857142,0.33636614281775573,0.4081035923141186,0.3658008658008658
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,6,7,29.67,0.1659,ok,0.45714285714285713,0.293859649122807,0.3384615384615384,0.31035631035631034
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,7,8,36.77,0.1842,ok,0.5428571428571428,0.35125448028673834,0.418546365914787,0.37895437895437895
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,8,9,26.07,0.183,ok,0.37142857142857144,0.25751309622277363,0.30701754385964913,0.26758372226316224
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,9,10,24.83,0.1655,ok,0.38028169014084506,0.25810738968633706,0.30701754385964913,0.2724569640062598
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,10,11,24.89,0.1761,ok,0.35714285714285715,0.2308114035087719,0.26900584795321636,0.24594505130751407
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,11,13,24.28,0.1708,ok,0.45714285714285713,0.2987938596491228,0.3588137009189641,0.32257530619000335
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,12,14,26.6,0.1935,ok,0.37142857142857144,0.2476190476190476,0.28487886382623223,0.25962165688193084
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,13,15,26.75,0.1805,ok,0.4788732394366197,0.30897646414887797,0.3684210526315789,0.33545751633986925
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,14,16,25.36,0.1795,ok,0.4722222222222222,0.325,0.383061383061383,0.33833106163864907
WESAD_3class_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,15,17,25.17,0.1783,ok,0.3888888888888889,0.26212590299277605,0.3142639206712433,0.2792956891317547
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,1,2,26.05,0.1954,ok,0.3283582089552239,0.22832722832722832,0.2835467045993362,0.23801945181255527
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,2,3,26.55,0.1744,ok,0.4264705882352941,0.28935185185185186,0.3454954954954956,0.30486542443064185
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,3,4,25.41,0.1632,ok,0.4852941176470588,0.31741821396993813,0.3891891891891892,0.3474758324382385
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,4,5,24.31,0.1685,ok,0.4142857142857143,0.2875654811138682,0.33717948717948715,0.29572235673930586
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,5,6,24.12,0.2928,ok,0.44285714285714284,0.28567423605270537,0.3429406850459482,0.310548523206751
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,6,7,24.22,0.1691,ok,0.4857142857142857,0.3202614379084967,0.3717948717948718,0.3367901234567901
WESAD_3class_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,7,8,24.04,0.1686,ok,0.5285714285714286,0.3523809523809524,0.41687552213868,0.37393998695368563
