task,feature_map,n_qubits,reps,entanglement,scaler,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,1,2,3.09,0.0,ok,0.35714285714285715,0.283072546230441,0.283072546230441,0.283072546230441
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,2,3,3.02,0.0,ok,0.47368421052631576,0.4814814814814815,0.4797297297297297,0.465625
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,3,4,2.96,0.0,ok,0.5964912280701754,0.5615079365079365,0.5628378378378378,0.5619779485466088
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,4,5,3.15,0.0,ok,0.6440677966101694,0.6223529411764706,0.6333333333333333,0.6228310502283105
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,5,6,2.54,0.0,ok,0.7966101694915254,0.7942528735632184,0.8208020050125313,0.7917647058823529
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,6,7,3.08,0.0,ok,0.5254237288135594,0.5281609195402299,0.5314102564102564,0.5141176470588236
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,7,8,3.05,0.0,ok,0.6101694915254238,0.6126436781609195,0.6228070175438596,0.6028680128767925
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,8,9,3.2,0.0,ok,0.39655172413793105,0.4343629343629344,0.4328947368421053,0.39637228664882546
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,9,10,3.28,0.001,ok,0.31666666666666665,0.34124386252045824,0.3839712918660287,0.3009377664109122
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,10,11,3.08,0.001,ok,0.423728813559322,0.39941176470588236,0.39285714285714285,0.3943236714975845
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,11,13,2.47,0.0,ok,0.4915254237288136,0.48908045977011494,0.4880952380952381,0.47941176470588237
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,12,14,3.12,0.0,ok,0.5423728813559322,0.5351382488479263,0.5382205513784462,0.5288376220053239
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,13,15,3.05,0.0,ok,0.4666666666666667,0.4575892857142857,0.4545454545454546,0.4514285714285714
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,14,16,2.93,0.0,ok,0.7213114754098361,0.7080610021786492,0.7226107226107226,0.7100922560805143
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,standard,ZZFeatureMap_n3_r2_linear_standard,15,17,3.02,0.0,ok,0.5901639344262295,0.5806277056277056,0.5852402745995423,0.5788456227561447
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,1,2,3.02,0.0011,ok,0.5357142857142857,0.541507024265645,0.5462304409672831,0.5260416666666666
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,2,3,3.01,0.0,ok,0.7192982456140351,0.7167487684729064,0.7378378378378379,0.7121212121212122
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,3,4,3.02,0.0,ok,0.6666666666666666,0.6432225063938619,0.6513513513513514,0.645266950540452
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,4,5,3.04,0.001,ok,0.7288135593220338,0.7211981566820276,0.7461538461538462,0.719047619047619
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,5,6,2.98,0.0,ok,0.6779661016949152,0.7393483709273183,0.7393483709273183,0.6779661016949152
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,6,7,3.02,0.0,ok,0.3559322033898305,0.6724137931034483,0.5128205128205128,0.2814102564102564
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,7,8,3.01,0.0,ok,0.5423728813559322,0.5658823529411765,0.5701754385964912,0.5402597402597402
